job_id,job_title,company,city,posted_date,job_type,category,city_raw
JOBSEARCH_68,Data Analyst – Business Intelligence & Data Reporting Specialist,Qureos,Karachi,2026-07-10,Entry-Level,Data Analyst,Karachi
JOBSEARCH_69,Remote Data Analyst,Qureos,Karachi,2026-07-16,Not Specified,Data Analyst,Karachi
JOBSEARCH_70,WFH Data Analyst,Qureos,Karachi,2026-07-03,Not Specified,Data Analyst,Karachi
JOBSEARCH_71,Custom Clearance Data Analyst,MAALBARDAAR PVT LTD,Karachi,2026-07-16,Full-time,Data Analyst,Karachi
JOBSEARCH_72,Data Analyst / Data Scientist,Qureos,Karachi,2026-07-09,Not Specified,Data Analyst,Karachi
JOBSEARCH_73,Business Analyst,Qureos,Karachi,2026-07-09,Not Specified,Business Analyst,Karachi
JOBSEARCH_74,Data & Reporting Analyst,PwC,Karachi,2026-02-28,Full-time,Reporting Analyst,Karachi
JOBSEARCH_75,Quality & Performance Analyst,Insijam private limited,Karachi,2026-07-20,Full-time,Other Analyst,Karachi
JOBSEARCH_76,Junior Research Analyst,Louis Dreyfus Company,Karachi,2026-06-23,Full-time,Other Analyst,Karachi
JOBSEARCH_77,Business Operations Analyst,Iberianz,Karachi,2026-06-30,Full-time,Business Analyst,Karachi
JOBSEARCH_78,Data Analyst,NCBA&E FLC,Lahore,2026-06-21,Full-time,Data Analyst,Lahore
JOBSEARCH_79,Jr. Data Analyst – Retail Operations,Atif Brothers,Lahore,2026-06-30,Full-time,Data Analyst,Lahore
JOBSEARCH_80,Data Analyst,Bootlogix,Lahore,2026-06-29,Full-time,Data Analyst,Lahore
JOBSEARCH_81,Data Analyst,Metal,Lahore,2026-03-05,Full-time,Data Analyst,Lahore
JOBSEARCH_82,Executive - Data Analyst (Supply Chain),Lulusar,Lahore,2026-06-19,Full-time,Data Analyst,Lahore
JOBSEARCH_83,Data Analyst,Dignosco,Lahore,2026-02-27,Full-time,Data Analyst,Lahore
JOBSEARCH_84,Data Analyst,Burq,Lahore,2026-05-12,Not Specified,Data Analyst,Lahore
JOBSEARCH_85,Associate Data Engineer,symufolk,Lahore,2026-07-07,Full-time,Data Engineer,Lahore
JOBSEARCH_86,Data Engineer,InvoZone,Lahore,2026-07-07,Full-time,Data Engineer,Lahore
JOBSEARCH_87,Data & Sales Analyst,INSPIRE BUILDERS GENERAL CONTRACTING COMPANY,Lahore,2026-06-30,Full-time,Data Analyst,Lahore
JOBSEARCH_88,Power BI Business Intelligence Analyst,Provox Global Solutions,Islamabad,2026-06-25,Full-time,BI Analyst,Islamabad
JOBSEARCH_89,Data Analyst,CLOUD DATA PVT LTD,Rawalpindi,2026-07-06,Full-time,Data Analyst,Rawalpindi
JOBSEARCH_90,Power BI Business Analyst,Accotech Pvt Ltd,Islamabad,2026-07-14,Full-time,BI Analyst,Islamabad
JOBSEARCH_91,Business Analyst,GRID Systems (PVT) Ltd.,Islamabad,2026-02-27,Not Specified,Business Analyst,Islamabad
JOBSEARCH_92,Business Research Analyst,Limitless Incubators,Islamabad,2026-06-28,Full-time,Business Analyst,Islamabad
JOBSEARCH_93,Graduate Finance Analyst,Edbiz Consulting (Pvt) Ltd,Islamabad,2026-06-24,Full-time,Other Analyst,Islamabad
JOBSEARCH_94,Business Analyst - Healthcare,10Pearls,Islamabad,2026-06-30,Full-time,Business Analyst,Islamabad
JOBSEARCH_95,Investigative Analyst - Background Screening,Corporate Research and Investigations Limited,Islamabad,2026-07-16,Full-time,Other Analyst,Islamabad
JOBSEARCH_96,Senior Power BI Developer – Financial & Operational Dashboards,Provox Global Solutions,Islamabad,2026-07-16,Full-time,BI Analyst,Islamabad
JOBSEARCH_97,Associate Quality Assurance Engineer,GRID Systems (PVT) Ltd.,Islamabad,2026-06-12,Full-time,Other,Islamabad
